,0.01,0.05,0.1
1,"{2: 90.024, 3: 135.041, 4: 164.258, 5: 185.575, 6: 202.21, 7: 215.769, 8: 227.166, 9: 236.966, 10: 245.542, 11: 253.151, 12: 259.979, 13: 266.165, 14: 271.812, 15: 277.003, 16: 281.803, 17: 286.263, 18: 290.426, 19: 294.328, 20: 297.997}","{2: 17.969, 3: 26.976, 4: 32.819, 5: 37.082, 6: 40.408, 7: 43.119, 8: 45.397, 9: 47.357, 10: 49.071, 11: 50.592, 12: 51.957, 13: 53.194, 14: 54.323, 15: 55.361, 16: 56.32, 17: 57.212, 18: 58.044, 19: 58.824, 20: 59.558}","{2: 8.929, 3: 13.437, 4: 16.358, 5: 18.488, 6: 20.15, 7: 21.504, 8: 22.642, 9: 23.621, 10: 24.477, 11: 25.237, 12: 25.918, 13: 26.536, 14: 27.1, 15: 27.618, 16: 28.097, 17: 28.542, 18: 28.958, 19: 29.347, 20: 29.713}"
2,"{2: 14.036, 3: 19.019, 4: 22.294, 5: 24.717, 6: 26.629, 7: 28.201, 8: 29.53, 9: 30.679, 10: 31.689, 11: 32.589, 12: 33.398, 13: 34.134, 14: 34.806, 15: 35.426, 16: 36.0, 17: 36.534, 18: 37.034, 19: 37.502, 20: 37.943}","{2: 6.085, 3: 8.331, 4: 9.798, 5: 10.881, 6: 11.734, 7: 12.435, 8: 13.027, 9: 13.539, 10: 13.988, 11: 14.389, 12: 14.749, 13: 15.076, 14: 15.375, 15: 15.65, 16: 15.905, 17: 16.143, 18: 16.365, 19: 16.573, 20: 16.769}","{2: 4.129, 3: 5.733, 4: 6.772, 5: 7.538, 6: 8.139, 7: 8.633, 8: 9.049, 9: 9.409, 10: 9.725, 11: 10.006, 12: 10.259, 13: 10.488, 14: 10.698, 15: 10.891, 16: 11.07, 17: 11.237, 18: 11.392, 19: 11.538, 20: 11.676}"
3,"{2: 8.26, 3: 10.619, 4: 12.17, 5: 13.324, 6: 14.241, 7: 14.998, 8: 15.641, 9: 16.199, 10: 16.691, 11: 17.13, 12: 17.526, 13: 17.887, 14: 18.217, 15: 18.522, 16: 18.805, 17: 19.068, 18: 19.315, 19: 19.546, 20: 19.765}","{2: 4.501, 3: 5.91, 4: 6.825, 5: 7.502, 6: 8.037, 7: 8.478, 8: 8.852, 9: 9.177, 10: 9.462, 11: 9.717, 12: 9.946, 13: 10.155, 14: 10.346, 15: 10.522, 16: 10.686, 17: 10.838, 18: 10.98, 19: 11.114, 20: 11.24}","{2: 3.328, 3: 4.467, 4: 5.199, 5: 5.738, 6: 6.162, 7: 6.511, 8: 6.806, 9: 7.062, 10: 7.287, 11: 7.487, 12: 7.667, 13: 7.831, 14: 7.982, 15: 8.12, 16: 8.248, 17: 8.368, 18: 8.479, 19: 8.584, 20: 8.683}"
4,"{2: 6.511, 3: 8.12, 4: 9.173, 5: 9.958, 6: 10.583, 7: 11.101, 8: 11.542, 9: 11.925, 10: 12.264, 11: 12.567, 12: 12.84, 13: 13.09, 14: 13.318, 15: 13.53, 16: 13.726, 17: 13.909, 18: 14.081, 19: 14.242, 20: 14.394}","{2: 3.926, 3: 5.04, 4: 5.757, 5: 6.287, 6: 6.706, 7: 7.053, 8: 7.347, 9: 7.602, 10: 7.826, 11: 8.027, 12: 8.208, 13: 8.373, 14: 8.524, 15: 8.664, 16: 8.793, 17: 8.914, 18: 9.027, 19: 9.133, 20: 9.233}","{2: 3.015, 3: 3.976, 4: 4.586, 5: 5.035, 6: 5.388, 7: 5.679, 8: 5.926, 9: 6.139, 10: 6.327, 11: 6.494, 12: 6.645, 13: 6.783, 14: 6.909, 15: 7.025, 16: 7.132, 17: 7.233, 18: 7.326, 19: 7.414, 20: 7.497}"
5,"{2: 5.702, 3: 6.976, 4: 7.804, 5: 8.421, 6: 8.913, 7: 9.321, 8: 9.669, 9: 9.971, 10: 10.239, 11: 10.479, 12: 10.696, 13: 10.894, 14: 11.076, 15: 11.244, 16: 11.4, 17: 11.545, 18: 11.682, 19: 11.811, 20: 11.932}","{2: 3.635, 3: 4.602, 4: 5.218, 5: 5.673, 6: 6.033, 7: 6.33, 8: 6.582, 9: 6.801, 10: 6.995, 11: 7.167, 12: 7.323, 13: 7.466, 14: 7.596, 15: 7.716, 16: 7.828, 17: 7.932, 18: 8.03, 19: 8.122, 20: 8.208}","{2: 2.85, 3: 3.717, 4: 4.264, 5: 4.664, 6: 4.979, 7: 5.238, 8: 5.458, 9: 5.648, 10: 5.816, 11: 5.965, 12: 6.1, 13: 6.223, 14: 6.336, 15: 6.439, 16: 6.536, 17: 6.626, 18: 6.71, 19: 6.788, 20: 6.863}"
6,"{2: 5.243, 3: 6.331, 4: 7.033, 5: 7.556, 6: 7.972, 7: 8.318, 8: 8.612, 9: 8.869, 10: 9.097, 11: 9.3, 12: 9.485, 13: 9.653, 14: 9.808, 15: 9.951, 16: 10.084, 17: 10.208, 18: 10.325, 19: 10.434, 20: 10.538}","{2: 3.46, 3: 4.339, 4: 4.896, 5: 5.305, 6: 5.628, 7: 5.895, 8: 6.122, 9: 6.319, 10: 6.493, 11: 6.649, 12: 6.789, 13: 6.917, 14: 7.034, 15: 7.143, 16: 7.244, 17: 7.338, 18: 7.426, 19: 7.508, 20: 7.586}","{2: 2.748, 3: 3.558, 4: 4.065, 5: 4.435, 6: 4.726, 7: 4.966, 8: 5.168, 9: 5.344, 10: 5.499, 11: 5.637, 12: 5.762, 13: 5.875, 14: 5.979, 15: 6.075, 16: 6.164, 17: 6.247, 18: 6.325, 19: 6.398, 20: 6.466}"
7,"{2: 4.949, 3: 5.919, 4: 6.542, 5: 7.005, 6: 7.373, 7: 7.678, 8: 7.939, 9: 8.166, 10: 8.367, 11: 8.548, 12: 8.711, 13: 8.86, 14: 8.997, 15: 9.124, 16: 9.242, 17: 9.353, 18: 9.456, 19: 9.553, 20: 9.645}","{2: 3.344, 3: 4.165, 4: 4.681, 5: 5.06, 6: 5.359, 7: 5.606, 8: 5.815, 9: 5.997, 10: 6.158, 11: 6.302, 12: 6.431, 13: 6.55, 14: 6.658, 15: 6.759, 16: 6.852, 17: 6.939, 18: 7.02, 19: 7.097, 20: 7.169}","{2: 2.679, 3: 3.451, 4: 3.931, 5: 4.28, 6: 4.555, 7: 4.78, 8: 4.971, 9: 5.137, 10: 5.283, 11: 5.413, 12: 5.53, 13: 5.637, 14: 5.735, 15: 5.826, 16: 5.91, 17: 5.988, 18: 6.061, 19: 6.13, 20: 6.195}"
8,"{2: 4.745, 3: 5.635, 4: 6.204, 5: 6.625, 6: 6.959, 7: 7.237, 8: 7.474, 9: 7.68, 10: 7.863, 11: 8.027, 12: 8.176, 13: 8.311, 14: 8.436, 15: 8.552, 16: 8.659, 17: 8.76, 18: 8.854, 19: 8.943, 20: 9.027}","{2: 3.261, 3: 4.041, 4: 4.529, 5: 4.886, 6: 5.167, 7: 5.399, 8: 5.596, 9: 5.767, 10: 5.918, 11: 6.053, 12: 6.175, 13: 6.287, 14: 6.389, 15: 6.483, 16: 6.571, 17: 6.653, 18: 6.729, 19: 6.801, 20: 6.869}","{2: 2.63, 3: 3.374, 4: 3.834, 5: 4.169, 6: 4.431, 7: 4.646, 8: 4.829, 9: 4.987, 10: 5.126, 11: 5.25, 12: 5.362, 13: 5.464, 14: 5.558, 15: 5.644, 16: 5.724, 17: 5.799, 18: 5.869, 19: 5.935, 20: 5.997}"
9,"{2: 4.596, 3: 5.428, 4: 5.957, 5: 6.347, 6: 6.657, 7: 6.915, 8: 7.134, 9: 7.325, 10: 7.494, 11: 7.646, 12: 7.784, 13: 7.91, 14: 8.025, 15: 8.132, 16: 8.232, 17: 8.325, 18: 8.412, 19: 8.495, 20: 8.573}","{2: 3.199, 3: 3.948, 4: 4.415, 5: 4.755, 6: 5.024, 7: 5.244, 8: 5.432, 9: 5.595, 10: 5.738, 11: 5.867, 12: 5.983, 13: 6.089, 14: 6.186, 15: 6.276, 16: 6.359, 17: 6.437, 18: 6.51, 19: 6.579, 20: 6.643}","{2: 2.592, 3: 3.316, 4: 3.761, 5: 4.084, 6: 4.337, 7: 4.545, 8: 4.721, 9: 4.873, 10: 5.007, 11: 5.126, 12: 5.234, 13: 5.333, 14: 5.423, 15: 5.506, 16: 5.583, 17: 5.655, 18: 5.722, 19: 5.786, 20: 5.845}"
10,"{2: 4.482, 3: 5.27, 4: 5.769, 5: 6.136, 6: 6.428, 7: 6.669, 8: 6.875, 9: 7.054, 10: 7.213, 11: 7.356, 12: 7.485, 13: 7.603, 14: 7.712, 15: 7.812, 16: 7.906, 17: 7.993, 18: 8.075, 19: 8.153, 20: 8.226}","{2: 3.151, 3: 3.877, 4: 4.327, 5: 4.654, 6: 4.912, 7: 5.124, 8: 5.304, 9: 5.46, 10: 5.598, 11: 5.722, 12: 5.833, 13: 5.935, 14: 6.028, 15: 6.114, 16: 6.194, 17: 6.269, 18: 6.339, 19: 6.405, 20: 6.467}","{2: 2.563, 3: 3.27, 4: 3.704, 5: 4.018, 6: 4.264, 7: 4.465, 8: 4.636, 9: 4.783, 10: 4.913, 11: 5.029, 12: 5.134, 13: 5.229, 14: 5.316, 15: 5.397, 16: 5.472, 17: 5.542, 18: 5.607, 19: 5.668, 20: 5.726}"
